Reference;Ressource;REL;RFC;Context;TOC12;TOC11;TOC10;TOC9;TOC8;TOC7;TOC6;TOC5;TOC4;TOC3;TOC2;TOC1;Reference_StartPosition;Reference_EndPosition
§ 75 I BetrVG;BetrVG;gestalten;Regelungen;Das Kündigungsinteresse der Druckerei ergibt sich demgegenüber auch mit Blick auf die Fürsorgepflichten der Arbeitgeberin, ihr Personal vor rassistischen Anfeindungen durch Kolleg:innen zu schützen. Diese Pflicht ergibt sich wiederum in Zusammenschau der § 3 III, § 12 III AGG und § 75 I BetrVG. Diese Regelungen gestalten das verfassungsrechtliche Diskriminierungsverbot des Art. 3 III 1 GG aus, wonach niemand wegen der „Rasse“ benachteiligt oder bevorzugt werden darf. In diesen Regelungen findet zudem die verfassungsrechtliche Wertung der Unantastbarkeit der Menschenwürde aus Art. 1 I GG ihren Niederschlag.16 Die Arbeitsgerichte haben in ihren Entscheidungen konkret berücksichtigt, dass die Äußerung im Rahmen einer Auseinandersetzung während einer Betriebsratssitzung getätigt wurde.;;;;;;;c) Hilfsgutachten: Verhältnismäßigkeit der Anwendung und Auslegung im konkreten Einzelfall;3. Verfassungsmäßigkeit der Gesetzesanwendung und -auslegung im Einzelfall;III. Rechtfertigung;B. Begründetheit;Lösung;Fall 5 - Meinungsfreiheit;297285;297298
Art. 3 III 1 GG;GG;aus;Diskriminierungsverbot;Das Kündigungsinteresse der Druckerei ergibt sich demgegenüber auch mit Blick auf die Fürsorgepflichten der Arbeitgeberin, ihr Personal vor rassistischen Anfeindungen durch Kolleg:innen zu schützen. Diese Pflicht ergibt sich wiederum in Zusammenschau der § 3 III, § 12 III AGG und § 75 I BetrVG. Diese Regelungen gestalten das verfassungsrechtliche Diskriminierungsverbot des Art. 3 III 1 GG aus, wonach niemand wegen der „Rasse“ benachteiligt oder bevorzugt werden darf. In diesen Regelungen findet zudem die verfassungsrechtliche Wertung der Unantastbarkeit der Menschenwürde aus Art. 1 I GG ihren Niederschlag.16 Die Arbeitsgerichte haben in ihren Entscheidungen konkret berücksichtigt, dass die Äußerung im Rahmen einer Auseinandersetzung während einer Betriebsratssitzung getätigt wurde.;;;;;;;c) Hilfsgutachten: Verhältnismäßigkeit der Anwendung und Auslegung im konkreten Einzelfall;3. Verfassungsmäßigkeit der Gesetzesanwendung und -auslegung im Einzelfall;III. Rechtfertigung;B. Begründetheit;Lösung;Fall 5 - Meinungsfreiheit;297380;297395
Art. 1 I GG;GG;haben;Menschenwürde;Das Kündigungsinteresse der Druckerei ergibt sich demgegenüber auch mit Blick auf die Fürsorgepflichten der Arbeitgeberin, ihr Personal vor rassistischen Anfeindungen durch Kolleg:innen zu schützen. Diese Pflicht ergibt sich wiederum in Zusammenschau der § 3 III, § 12 III AGG und § 75 I BetrVG. Diese Regelungen gestalten das verfassungsrechtliche Diskriminierungsverbot des Art. 3 III 1 GG aus, wonach niemand wegen der „Rasse“ benachteiligt oder bevorzugt werden darf. In diesen Regelungen findet zudem die verfassungsrechtliche Wertung der Unantastbarkeit der Menschenwürde aus Art. 1 I GG ihren Niederschlag.16 Die Arbeitsgerichte haben in ihren Entscheidungen konkret berücksichtigt, dass die Äußerung im Rahmen einer Auseinandersetzung während einer Betriebsratssitzung getätigt wurde.;;;;;;;c) Hilfsgutachten: Verhältnismäßigkeit der Anwendung und Auslegung im konkreten Einzelfall;3. Verfassungsmäßigkeit der Gesetzesanwendung und -auslegung im Einzelfall;III. Rechtfertigung;B. Begründetheit;Lösung;Fall 5 - Meinungsfreiheit;297588;297599
Art. 1 I GG;GG;berühren;Menschenwürde;– Menschenverachtende diskriminierende Äußerungen, welche die Menschenwürde (Art. 1 I GG) und das in Art. 3 III 1 GG enthaltene Verbot rassistischer Diskriminierung berühren, lassen sich nicht unter Berufung auf die Meinungsfreiheit rechtfertigen.;;;;;;;;;IV. Ergebnis;B. Begründetheit;Lösung;Fall 5 - Meinungsfreiheit;299662;299673
Art. 3 III 1 GG;GG;berühren;Verbot;– Menschenverachtende diskriminierende Äußerungen, welche die Menschenwürde (Art. 1 I GG) und das in Art. 3 III 1 GG enthaltene Verbot rassistischer Diskriminierung berühren, lassen sich nicht unter Berufung auf die Meinungsfreiheit rechtfertigen.;;;;;;;;;IV. Ergebnis;B. Begründetheit;Lösung;Fall 5 - Meinungsfreiheit;299686;299701
Sachverhalt;;;;"<p>Beatriz Burgos Bedoya (B) ist spanische Staatsbürgerin und lebt in Frankfurt am Main. An einem Wochenende im Juli 2019 besuchte B den Frankfurter Christopher Street Day (CSD). Dieser findet jährlich statt und steht in der Tradition der Geschehnisse rund um das Stonewall Inn in der New Yorker Christopher Street, wo insbesondere Homosexuelle und trans Frauen im Jahr 1969 gegen Polizeiwillkür aufbegehrten. Anlässlich des Jubiläums stand der CSD 2019 in Frankfurt unter dem Motto „50 Jahre Stonewall - Wir sind Bewegung!“. Höhepunkt des CSD-Wochenendes war eine Parade, bei der die Teilnehmer:innen begleitet von Techno-Musik spielenden Festwagen durch die Straßen zogen. Dabei wurden auch alkoholische Getränke verkauft und es herrschte eine ausgelassene Partystimmung. Viele Teilnehmer:innen schwenkten Regenbogenfahnen oder hatten sich solche als Cape umgehängt. Einige trugen auch Banner und Transparente mit Botschaften wie „Love is Love“. Auf dem Transparent, das B mit sich trug, war zu lesen: „Stonewall was a riot! No cops at Pride!“.[1] Außerdem führte B auf einem Handwagen einen Lautsprecher mit sich. Diesen benutzte sie unter anderem für folgende Durchsagen: „Bullen raus aus der Parade! No cops at Pride! Zivile Bullen raus aus der Parade - und zwar sofort!“. </p>
<p>Die zuständige Versammlungsbehörde hatte für den CSD verschiedene Auflagen erlassen. Neben Lautstärkenbergrenzungen für die Musik verfügte die Versammlungsbehörde unter dem Unterpunkt „Kundgebungsmittel / Versammlungshilfsmittel“ unter anderem, dass Lautsprecher und Megaphone nur für Ansprachen und Darbietungen, die im Zusammenhang mit der Versammlung stehen, sowie für Ordnungsdurchsagen verwendet werden dürfen. Die zuständige Behörde verhängte gemäß § 29 I Nr. 3 i.V.m. § 15 VersG gegen die B ein Bußgeld in Höhe von 250 Euro mit der Begründung, B habe die auf Lautsprecherdurchsagen bezogene Auflage nicht beachtet, was eine Ordnungswidrigkeit darstelle. Die für derartige Ordnungswidrigkeiten zuständige Strafrichterin am Amtsgericht Frankfurt am Main bestätigte dies, sodass die B zur Zahlung eines Bußgelds in ebendieser Höhe verurteilt wurde. Zur Begründung führte das Amtsgericht unter anderem aus, es bestünden keine Bedenken hinsichtlich der Rechtmäßigkeit der Auflage. Es sei bereits zweifelhaft, ob die CSD-Parade überhaupt in den Schutzbereich der Versammlungsfreiheit falle. Schließlich werde hier lediglich das Lebensgefühl einer Subkultur zur Schau gestellt. Selbst wenn das Gericht jedoch von einer kollektiven Meinungsbildung und -kundgabe ausgehe, entfalle dieser Zweck, wenn der Einsatz elektronischer Verstärker allein oder hauptsächlich anderen Zwecken als der Meinungskundgabe zu versammlungsbezogenen Themen diene. Die Auflage und das Bußgeld seien vorliegend auch deshalb gerechtfertigt, weil Polizeibeamt:innen vor derartigen Angriffen auf ihre Persönlichkeit geschützt werden müssten und ein reibungsloser und störungsfreier Ablauf der CSD-Parade auch im Sinne der anderen Teilnehmenden gewährleistet werden müsse. </p>

<p>Nachdem die B einen Antrag auf Zulassung der Rechtsbeschwerde gegen das amtsgerichtliche Urteil gestellt hat und dieser abgelehnt wurde, stehen ihr keine weiteren Rechtsmittel zur Verfügung. Sie erhebt daher form- und fristgerecht Verfassungsbeschwerde, in der sie sich gegen das Urteil des Amtsgerichts Frankfurt am Main wendet und eine Verletzung ihres Grundrechts der Versammlungsfreiheit aus Art. 8 I GG rügt. </p>
";;;;;;;;;;;Sachverhalt;Fall 6 - Versammlungsfreiheit;300000;300010
Art. 8 GG;GG;ist;Versammlungsfreiheit;"Dana‑Sophia Valentiner Lösung Fall 5 137 Fall 6 Notwendiges Vorwissen: Zulässigkeit der Verfassungsbeschwerde, Aufbau der Prüfung eines Freiheitsgrundrechts, Deutschengrundrechte, Versammlungsfreiheit Art. 8 GG Behandelte Themen: Verfassungsbeschwerde, Deutschengrundrechte und EUAusländer:innen, Versammlungsbegriff Schwierigkeitsgrad: Grundstudium; 2 Stunden Bearbeitungszeit Sachverhalt Beatriz Burgos Bedoya (B) ist spanische Staatsbürgerin und lebt in Frankfurt am Main.";;;;;;;;;;;Sachverhalt;Fall 6 - Versammlungsfreiheit;300860;300869
§ 15 VersG;VersG;habe;Verbindung;Die zuständige Behörde verhängte gemäß § 29 I Nr. 3 in Verbindung mit § 15 VersG gegen die B ein Bußgeld in Höhe von 250 Euro mit der Begründung, B habe die auf Lautsprecherdurchsagen bezogene Auflage nicht beachtet, was eine Ordnungswidrigkeit darstelle.;;;;;;;;;;;Sachverhalt;Fall 6 - Versammlungsfreiheit;303577;303587
Art. 8 I GG;GG;rügt;Versammlungsfreiheit;Sie erhebt daher form- und fristgerecht Verfassungsbeschwerde, in der sie sich gegen das Urteil des Amtsgerichts Frankfurt am Main wendet und eine Verletzung ihres Grundrechts der Versammlungsfreiheit aus Art. 8 I GG rügt.;;;;;;;;;;;Sachverhalt;Fall 6 - Versammlungsfreiheit;305243;305254
Fallfrage;;;;"<p>Hat die Verfassungsbeschwerde der B Aussicht auf Erfolg? </p>
<p>Bearbeitungshinweis: Von der Verfassungsmäßigkeit der § 29 I Nr. 3 i.V.m. § 15 VersG ist auszugehen. Eine Verletzung des Art. 5 GG ist nicht zu prüfen.</p>";;;;;;;;;;;Fallfrage;Fall 6 - Versammlungsfreiheit;305300;305350
§ 15 VersG;VersG;ist;Verbindung;Hinweis: Von der Verfassungsmäßigkeit der § 29 I Nr. 3 in Verbindung mit § 15 VersG ist auszugehen.;;;;;;;;;;;Fallfrage;Fall 6 - Versammlungsfreiheit;305401;305411
Art. 5 GG;GG;ist;Verletzung;Eine Verletzung des Art. 5 GG ist nicht zu prüfen.;;;;;;;;;;;Lösung;Fall 6 - Versammlungsfreiheit;305448;305457
Art. 93 I Nr. 4a GG;GG;erfüllt;Sachentscheidungsvoraussetzungen;A. Zulässigkeit Die Verfassungsbeschwerde ist zulässig, wenn sie alle Sachentscheidungsvoraussetzungen des Art. 93 I Nr. 4a GG und der §§ 90 ff. BVerfGG erfüllt.;;;;;;;;;;;Lösung;Fall 6 - Versammlungsfreiheit;305740;305759
§§ 90 ff. BVerfGG;BVerfGG;erfüllt;Zuständigkeit;A. Zulässigkeit Die Verfassungsbeschwerde ist zulässig, wenn sie alle Sachentscheidungsvoraussetzungen des Art. 93 I Nr. 4a GG und der §§ 90 ff. BVerfGG erfüllt.;;;;;;;;;;;Lösung;Fall 6 - Versammlungsfreiheit;305768;305785
Art. 93 I Nr. 4a GG;GG;ist;BVerfG;I. Zuständigkeit des BVerfG Das BVerfG ist gemäß Art. 93 I Nr. 4a GG, §§ 13 Nr. 8a, 90 ff. BVerfGG für die Entscheidung über Verfassungsbeschwerden zuständig.;;;;;;;;;;;Lösung;Fall 6 - Versammlungsfreiheit;305844;305863
Art. 93 I Nr. 4a GG;GG;ist;Person;Gemäß Art. 93 I Nr. 4a GG, § 90 I BVerfGG ist jede Person, die Träger:in von Grundrechten oder grundrechtsgleichen Rechten sein kann, beschwerdefähig.;;;;;;;;;;;Lösung;Fall 6 - Versammlungsfreiheit;306015;306034
§ 90 I BVerfGG;GG;ist;Person;Gemäß Art. 93 I Nr. 4a GG, § 90 I BVerfGG ist jede Person, die Träger:in von Grundrechten oder grundrechtsgleichen Rechten sein kann, beschwerdefähig.;;;;;;;;;;;Lösung;Fall 6 - Versammlungsfreiheit;306036;306050
Art. 93 I Nr. 4a GG;GG;ist;Sinne;B ist als natürliche Person grundsätzlich Trägerin von Grundrechten, sodass sie beschwerdefähig im Sinne des Art. 93 I Nr. 4a GG, § 90 I BVerfGG ist.;;;;;;;;;;;Lösung;Fall 6 - Versammlungsfreiheit;306269;306288
§ 90 I BVerfGG;GG;ist;Sinne;B ist als natürliche Person grundsätzlich Trägerin von Grundrechten, sodass sie beschwerdefähig im Sinne des Art. 93 I Nr. 4a GG, § 90 I BVerfGG ist.;;;;;;;;;;;Lösung;Fall 6 - Versammlungsfreiheit;306290;306304
Art. 93 I Nr. 4a GG;GG;ist;Verfassungsbeschwerde;IV. Beschwerdegegenstand Beschwerdegegenstand einer Verfassungsbeschwerde ist gemäß Art. 93 I Nr. 4a GG, § 90 I BVerfGG jeder „Akt öffentlicher Gewalt“.;;;;;;;;;;;Lösung;Fall 6 - Versammlungsfreiheit;307021;307040
§ 90 I BVerfGG;GG;ist;Akt;IV. Beschwerdegegenstand Beschwerdegegenstand einer Verfassungsbeschwerde ist gemäß Art. 93 I Nr. 4a GG, § 90 I BVerfGG jeder „Akt öffentlicher Gewalt“.;;;;;;;;;;;Lösung;Fall 6 - Versammlungsfreiheit;307042;307056
Art. 93 I Nr. 4a GG;GG;muss;Gewalt;Gemäß Art. 93 I Nr. 4a GG, § 90 I BVerfGG muss sie hierfür behaupten, durch die öffentliche Gewalt in ihren Grundrechten oder grundrechtsgleichen Rechten verletzt zu sein.;;;;;;;;;;;Lösung;Fall 6 - Versammlungsfreiheit;308201;308220
§ 90 I BVerfGG;GG;muss;Gewalt;Gemäß Art. 93 I Nr. 4a GG, § 90 I BVerfGG muss sie hierfür behaupten, durch die öffentliche Gewalt in ihren Grundrechten oder grundrechtsgleichen Rechten verletzt zu sein.;;;;;;;;;;;Lösung;Fall 6 - Versammlungsfreiheit;308222;308236
Art. 8 I GG;GG;kommt;Versammlungsfreiheit;In Betracht kommt vorliegend eine Verletzung der Versammlungsfreiheit aus Art. 8 I GG oder mindestens eines entsprechenden Schutzniveaus aus der allgemeinen Handlungsfreiheit gemäß Art. 2 I GG. B beruft sich auf das Grundrecht der Versammlungsfreiheit aus Art. 8 I GG. Dieses steht nach seinem Wortlaut nur Deutschen zu. Allerdings ist B als spanische Staatsbürgerin EU-Bürgerin, sodass Art. 18 AEUV eine europarechtskonforme Auslegung des Grundgesetzes verlangt, die im Ergebnis EU-Ausländer:innen den gleichen Grundrechtsschutz wie deutschen Staatsbürger:innen gewährt.;;;;;;;;;;;Lösung;Fall 6 - Versammlungsfreiheit;308873;308884
Art. 2 I GG;GG;beruft;Handlungsfreiheit;In Betracht kommt vorliegend eine Verletzung der Versammlungsfreiheit aus Art. 8 I GG oder mindestens eines entsprechenden Schutzniveaus aus der allgemeinen Handlungsfreiheit gemäß Art. 2 I GG. B beruft sich auf das Grundrecht der Versammlungsfreiheit aus Art. 8 I GG. Dieses steht nach seinem Wortlaut nur Deutschen zu. Allerdings ist B als spanische Staatsbürgerin EU-Bürgerin, sodass Art. 18 AEUV eine europarechtskonforme Auslegung des Grundgesetzes verlangt, die im Ergebnis EU-Ausländer:innen den gleichen Grundrechtsschutz wie deutschen Staatsbürger:innen gewährt.;;;;;;;;;;;Lösung;Fall 6 - Versammlungsfreiheit;308980;308991
Art. 8 I GG;GG;steht;Versammlungsfreiheit;In Betracht kommt vorliegend eine Verletzung der Versammlungsfreiheit aus Art. 8 I GG oder mindestens eines entsprechenden Schutzniveaus aus der allgemeinen Handlungsfreiheit gemäß Art. 2 I GG. B beruft sich auf das Grundrecht der Versammlungsfreiheit aus Art. 8 I GG. Dieses steht nach seinem Wortlaut nur Deutschen zu. Allerdings ist B als spanische Staatsbürgerin EU-Bürgerin, sodass Art. 18 AEUV eine europarechtskonforme Auslegung des Grundgesetzes verlangt, die im Ergebnis EU-Ausländer:innen den gleichen Grundrechtsschutz wie deutschen Staatsbürger:innen gewährt.;;;;;;;;;;;Lösung;Fall 6 - Versammlungsfreiheit;309055;309066
Art. 18 AEUV;AEUV;ist;EU-Bürgerin;In Betracht kommt vorliegend eine Verletzung der Versammlungsfreiheit aus Art. 8 I GG oder mindestens eines entsprechenden Schutzniveaus aus der allgemeinen Handlungsfreiheit gemäß Art. 2 I GG. B beruft sich auf das Grundrecht der Versammlungsfreiheit aus Art. 8 I GG. Dieses steht nach seinem Wortlaut nur Deutschen zu. Allerdings ist B als spanische Staatsbürgerin EU-Bürgerin, sodass Art. 18 AEUV eine europarechtskonforme Auslegung des Grundgesetzes verlangt, die im Ergebnis EU-Ausländer:innen den gleichen Grundrechtsschutz wie deutschen Staatsbürger:innen gewährt.;;;;;;;;;;;Lösung;Fall 6 - Versammlungsfreiheit;309186;309198
Art. 2 I GG;GG;erzielt;EU-Ausländer;Sué González Hauck Lösung Fall 6 143 sönlichen Schutzbereiches auf EU-Ausländer:innen oder über Art. 2 I GG erzielt wird, ist für die generelle Möglichkeit der Grundrechtsverletzung nicht von Belang.;;;;;;;;;;;Lösung;Fall 6 - Versammlungsfreiheit;309631;309642
Art. 8 I GG;GG;prüfen;Schutzbereich;3 Klausurtaktik Denkbar wäre es, bereits hier den persönlichen und den sachlichen Schutzbereich des Art. 8 I GG ausführlich zu prüfen.;;;;;;;;;;;Lösung;Fall 6 - Versammlungsfreiheit;309835;309846
§§ 23 I, 92 BVerfGG;BVerfGG;wahrt;Form;Sué González Hauck 144 Fall 6 Lösung VII. Frist und Form der Beschwerde B wahrt mit ihrem Antrag die erforderliche Form gemäß §§ 23 I, 92 BVerfGG und die Monatsfrist ab Zustellung der Entscheidung gemäß § 93 I BVerfGG. VIII. Ergebnis zur Zulässigkeit Die Verfassungsbeschwerde der B ist zulässig.;;;;;;;;;;;Lösung;Fall 6 - Versammlungsfreiheit;311937;311956
§ 93 I BVerfGG;BVerfGG;ist;VIII;Sué González Hauck 144 Fall 6 Lösung VII. Frist und Form der Beschwerde B wahrt mit ihrem Antrag die erforderliche Form gemäß §§ 23 I, 92 BVerfGG und die Monatsfrist ab Zustellung der Entscheidung gemäß § 93 I BVerfGG. VIII. Ergebnis zur Zulässigkeit Die Verfassungsbeschwerde der B ist zulässig.;;;;;;;;;;;Lösung;Fall 6 - Versammlungsfreiheit;312014;312028
Art. 8 I GG;GG;verletzt;Versammlungsfreiheit;B. Begründetheit Die Verfassungsbeschwerde ist begründet, wenn das Urteil des Amtsgerichts Frankfurt am Main die B in ihrem Grundrecht der Versammlungsfreiheit aus Art. 8 I GG verletzt.;;;;;;;;;;;Lösung;Fall 6 - Versammlungsfreiheit;312272;312283
Art. 8 I GG;GG;ist;Wortlaut;Persönlicher Schutzbereich Der persönliche Schutzbereich der Versammlungsfreiheit aus Art. 8 I GG ist seinem Wortlaut nach nur für Deutsche im Sinne des Art. 116 I GG eröffnet.;;;;;;;;;;;Lösung;Fall 6 - Versammlungsfreiheit;313028;313039
Art. 116 I GG;GG;eröffnet;Sinne;Persönlicher Schutzbereich Der persönliche Schutzbereich der Versammlungsfreiheit aus Art. 8 I GG ist seinem Wortlaut nach nur für Deutsche im Sinne des Art. 116 I GG eröffnet.;;;;;;;;;;;Lösung;Fall 6 - Versammlungsfreiheit;313095;313108
Art. 8 I GG;GG;umfasst;Schutzbereich;Der persönliche Schutzbereich des Art. 8 I GG umfasst sie daher seinem Wortlaut nach nicht.;;;;;;;;;;;Lösung;Fall 6 - Versammlungsfreiheit;313220;313231
Art. 18 AEUV;AEUV;verlangt;Diskriminierungsverbot;Das in Art. 18 AEUV enthaltene Diskriminierungsverbot verlangt jedoch, dass EU-Bürger:innen aus anderen Mitgliedstaaten nicht schlechter gestellt werden als deutsche Staatsbürger:innen.;;;;;;;;;;;Lösung;Fall 6 - Versammlungsfreiheit;313285;313297
Art. 2 I GG;GG;erreichen;Schutzes;Sué González Hauck Lösung Fall 6 145 Umstritten ist, ob ein unionsrechtskonformes Ergebnis über eine Erweiterung des Anwendungsbereichs der Deutschengrundrechte oder mittels eines gleichwertigen Schutzes über Art. 2 I GG zu erreichen ist.2 Gegen eine direkte Anwendung der Deutschengrundrechte und mithin auch des Art. 8 I GG auf EU-Bürger:innen spricht zunächst der Wortlaut, der von „Deutschen“ spricht, was wiederum in Art. 116 I GG definiert ist.;;;;;;;;;;;Lösung;Fall 6 - Versammlungsfreiheit;313972;313983
Art. 8 I GG;GG;spricht;EU-Bürger;Sué González Hauck Lösung Fall 6 145 Umstritten ist, ob ein unionsrechtskonformes Ergebnis über eine Erweiterung des Anwendungsbereichs der Deutschengrundrechte oder mittels eines gleichwertigen Schutzes über Art. 2 I GG zu erreichen ist.2 Gegen eine direkte Anwendung der Deutschengrundrechte und mithin auch des Art. 8 I GG auf EU-Bürger:innen spricht zunächst der Wortlaut, der von „Deutschen“ spricht, was wiederum in Art. 116 I GG definiert ist.;;;;;;;;;;;Lösung;Fall 6 - Versammlungsfreiheit;314077;314088
Art. 116 I GG;GG;definiert;Wortlaut;Sué González Hauck Lösung Fall 6 145 Umstritten ist, ob ein unionsrechtskonformes Ergebnis über eine Erweiterung des Anwendungsbereichs der Deutschengrundrechte oder mittels eines gleichwertigen Schutzes über Art. 2 I GG zu erreichen ist.2 Gegen eine direkte Anwendung der Deutschengrundrechte und mithin auch des Art. 8 I GG auf EU-Bürger:innen spricht zunächst der Wortlaut, der von „Deutschen“ spricht, was wiederum in Art. 116 I GG definiert ist.;;;;;;;;;;;Lösung;Fall 6 - Versammlungsfreiheit;314185;314198
Art. 23 I 2, 3 GG;GG;sieht;Primärrecht;Jedoch sieht Art. 23 I 2, 3 GG ausdrücklich vor, dass durch das europäische Primärrecht – in den Grenzen des Art. 79 III GG – auch das Grundgesetz geändert werden kann.;;;;;;;;;;;Lösung;Fall 6 - Versammlungsfreiheit;314227;314244
Art. 79 III GG;GG;geändert;Grenzen;Jedoch sieht Art. 23 I 2, 3 GG ausdrücklich vor, dass durch das europäische Primärrecht – in den Grenzen des Art. 79 III GG – auch das Grundgesetz geändert werden kann.;;;;;;;;;;;Lösung;Fall 6 - Versammlungsfreiheit;314323;314337
Art. 8 I GG;GG;ist;Ergebnis;Im Ergebnis ist Art. 8 I GG also so zu lesen, als stünde dort „Deutsche und EU-Bürger:innen“.;;;;;;;;;;;Lösung;Fall 6 - Versammlungsfreiheit;314816;314827
Art. 8 GG;GG;hineingelesen;Schranken;Dieses Ergebnis ist trotz des Überschreitens der Wortlautgrenze methodisch auch deshalb vorzugswürdig, weil es die Systematik der Grundrechte intakt lässt und nicht erfordert, dass die Besonderheiten des sachlichen Schutzbereichs und der Schranken des Art. 8 GG in Art. 2 I GG „hineingelesen“ werden müssen.;;;;;;;;;;;Lösung;Fall 6 - Versammlungsfreiheit;315146;315155
Art. 2 I GG;GG;hineingelesen;Schranken;Dieses Ergebnis ist trotz des Überschreitens der Wortlautgrenze methodisch auch deshalb vorzugswürdig, weil es die Systematik der Grundrechte intakt lässt und nicht erfordert, dass die Besonderheiten des sachlichen Schutzbereichs und der Schranken des Art. 8 GG in Art. 2 I GG „hineingelesen“ werden müssen.;;;;;;;;;;;Lösung;Fall 6 - Versammlungsfreiheit;315159;315170
Art. 8 I GG;GG;wäre;Schutzbereich;Dann wäre im Folgenden nicht der sachliche Schutzbereich des Art. 8 I GG, sondern des Art. 2 I GG in seiner Ausprägung als versammlungsbezogene Handlungsfreiheit zu prüfen.;;;;;;;;;;;Lösung;Fall 6 - Versammlungsfreiheit;315325;315336
Art. 2 I GG;GG;prüfen;Ausprägung;Dann wäre im Folgenden nicht der sachliche Schutzbereich des Art. 8 I GG, sondern des Art. 2 I GG in seiner Ausprägung als versammlungsbezogene Handlungsfreiheit zu prüfen.;;;;;;;;;;;Lösung;Fall 6 - Versammlungsfreiheit;315350;315361
Art. 8 I GG;GG;handelt;Sinne;Sachlicher Schutzbereich Der sachliche Schutzbereich ist eröffnet, wenn es sich bei der CSD-Parade um eine Versammlung im Sinne des Art. 8 I GG handelt und wenn das konkrete sanktionierte Verhalten der B in Form der Lautsprecherdurchsagen zu den von Art. 8 I GG im Rahmen einer Versammlung geschützten Verhaltensweisen zählt.;;;;;;;;;;;Lösung;Fall 6 - Versammlungsfreiheit;315622;315633
Art. 8 I GG;GG;zählt;Rahmen;Sachlicher Schutzbereich Der sachliche Schutzbereich ist eröffnet, wenn es sich bei der CSD-Parade um eine Versammlung im Sinne des Art. 8 I GG handelt und wenn das konkrete sanktionierte Verhalten der B in Form der Lautsprecherdurchsagen zu den von Art. 8 I GG im Rahmen einer Versammlung geschützten Verhaltensweisen zählt.;;;;;;;;;;;Lösung;Fall 6 - Versammlungsfreiheit;315740;315751
Art. 8 I GG;GG;gewesen;Sinne;Sué González Hauck 146 Fall 6 Lösung a) Versammlungsbegriff B müsste Teilnehmerin einer Versammlung im Sinne des Art. 8 I GG gewesen sein.;;;;;;;;;;;Lösung;Fall 6 - Versammlungsfreiheit;316076;316087
Art. 8 I GG;GG;fällt;Schutzbereich;Umstritten ist, welche Anforderungen genau der gemeinsame Zweck erfüllen muss, damit die Versammlung in den Schutzbereich des Art. 8 I GG fällt.;;;;;;;;;;;Lösung;Fall 6 - Versammlungsfreiheit;316314;316325
Art. 8 GG;GG;dient;Ansicht;Nach einer Ansicht dient Art. 8 GG dazu, einzelne Bürger:innen vor staatlicher Isolation zu schützen.;;;;;;;;;;;Lösung;Fall 6 - Versammlungsfreiheit;316358;316367
Art. 8 I GG;GG;geschützt;Ansicht;Auch eine Versammlung, die allein Geselligkeitszwecken dient, ist damit durch Art. 8 I GG geschützt.;;;;;;;;;;;Lösung;Fall 6 - Versammlungsfreiheit;316541;316552
Art. 5 I GG;GG;betont;Versammlungsfreiheit;Eine andere Ansicht betont den Zusammenhang zwischen der Meinungsfreiheit des Art. 5 I GG und der Versammlungsfreiheit des Art. 8 I GG. Danach ist eine Versammlung im Sinne des Art. 8 I GG nur dann gegeben, wenn der Zweck der Versammlung in der gemeinsamen Meinungsbildung und -äußerung besteht.;;;;;;;;;;;Lösung;Fall 6 - Versammlungsfreiheit;316642;316653
Art. 8 I GG;GG;ist;Versammlungsfreiheit;Eine andere Ansicht betont den Zusammenhang zwischen der Meinungsfreiheit des Art. 5 I GG und der Versammlungsfreiheit des Art. 8 I GG. Danach ist eine Versammlung im Sinne des Art. 8 I GG nur dann gegeben, wenn der Zweck der Versammlung in der gemeinsamen Meinungsbildung und -äußerung besteht.;;;;;;;;;;;Lösung;Fall 6 - Versammlungsfreiheit;316687;316698
Art. 8 I GG;GG;gegeben;Sinne;Eine andere Ansicht betont den Zusammenhang zwischen der Meinungsfreiheit des Art. 5 I GG und der Versammlungsfreiheit des Art. 8 I GG. Danach ist eine Versammlung im Sinne des Art. 8 I GG nur dann gegeben, wenn der Zweck der Versammlung in der gemeinsamen Meinungsbildung und -äußerung besteht.;;;;;;;;;;;Lösung;Fall 6 - Versammlungsfreiheit;316741;316752
Art. 8 I GG;GG;vorliege;Sinne;Das BVerfG betont zusätzlich, dass es dabei um öffentliche Belange gehen müsse, eine Versammlung im Sinne des Art. 8 I GG also dann vorliege, wenn der Zweck in der Teilhabe an der öffentlichen Meinungsbildung bestünde.3 Der Streit muss nicht entschieden werden, wenn der engste Versammlungsbegriff erfüllt ist, es sich bei der CSD-Parade also um eine Zusammenkunft handelt, die dem Zweck der Teilhabe an der öffentlichen Meinungsbildung dient.;;;;;;;;;;;Lösung;Fall 6 - Versammlungsfreiheit;316970;316981
Art. 8 I GG;GG;war;Sinne;Insgesamt fällt die CSD-Parade also selbst unter den engsten Versammlungsbegriff, sodass der Streit nicht entschieden werden muss. B war Teilnehmerin einer Versammlung im Sinne des Art. 8 I GG. 3 BVerfG, Beschl.;;;;;;;;;;;Lösung;Fall 6 - Versammlungsfreiheit;318490;318501
